SiteName,HotspotID,TotalChecklists
"Laurel Hill, Birthplace of Major General J.E.B. Stuart, CSA",L718587,14
"U.S. Army Corps of Engineers, Old Soudan Wildlife Management Area",L718711,22
Independence Public Boat Landing,L718527,26
Northwest River Park,L718636,240
Dan Daniel Memorial Park and Danville Riverwalk Trail,L519621,400
Munden Point Park,L796955,140
Mouth of Wilson Public Boat Landing,L718612,60
"U.S. Army Corps of Engineers, Merifield Wildlife Management Area",L718600,23
Stewarts Creek Wildlife Management Area,L718747,11
Bridle Creek Public Boat Landing,L718338,138
Washington County Park - South Holston Lake,L1582789,123
U.S. Army Corps of Engineers - Tailrace Park - John H. Kerr Dam & Reservoir,L159333,1190
Cumberland Gap National Historical Park/Wilderness Road Campground,L718404,161
Steel Bridge Boat Landing,L718746,98
"Richard P. Gravely, Jr Nature Preserve",L7190043,39
Oak Grove Plantation Bed & Breakfast,L718638,1
Fisher Farm Park,L718446,78
Baywood Public Boat Landing,L718311,20
Dick Cross Wildlife Management Area,L159299,998
Great Dismal Swamp National Wildlife Refuge,L718484,413
False Cape State Park,L718439,1006
Princess Anne Wildlife Management Area,L473385,1225
Grayson Highlands State Park,L718483,429
Grayson County Recreation Park,L718482,14
Wilderness Road State Park,L718820,162
Mt. Rogers National Recreation Area,L5234777,22
Occoneechee State Park,L718639,181
Virginia Creeper Trail - Damascus,L718789,82
Whitetop Mountain,L159420,393
Matthews State Forest,L718595,43
The Reynolds Homestead,L718764,47
Devil's Den Nature Preserve,L718415,105
Elk Garden,L718428,116
Whitetop Laurel Fishing and Viewing Area,L718817,27
DWR POWRR Property - Rexrena Boating Access Site,L31286448,12
Beartree Lake/Campground - Mt. Rogers NRA,L718313,62
Clear Creek Lake - Bristol,L718385,145
New River Trail State Park - Galax,L718629,128
Tobacco Heritage Trail - Boydton,L7162045,77
Riverside Public Boat Landing,L718696,22
Crooked Creek Wildlife Management Area,L718401,73
Back Bay National Wildlife Refuge,L718307,10595
Virginia Creeper Trail - Watauga,L718790,46
New River Trail State Park - Cliffview,L718627,117
Oldtown Public Boat Landing,L718644,5
J. Frank Wilson Park,L718529,135
Dismal Swamp Canal Trail,L517450,381
Grindstone Campground,L718491,222
Veteran's Memorial Park,L718784,48
Lake Gordon,L718557,24
Uptown Connector Park and Trail,L718781,8
Little Island Park,L718573,3103
Tobacco Heritage Trail: La Crosse to Brodnax,L20028084,14
Tobacco Heritage Trail: South Boston,L1581864,311
Natural Tunnel State Park,L718619,257
Staunton River State Park,L159407,738
Abingdon Muster Grounds,L13933609,49
Skull's Gap Overlook,L718732,28
Virginia Creeper Trail - Abingdon,L421205,168
A Place for Girls - The Outback,L718292,44
Fort Christanna Historical Site,L1634562,55
Fries Public Boat Landing,L718463,64
Homestead Road/Fairwood Valley,L718517,317
"Paul C. Edmunds, Jr. Memorial Park",L718651,549
Fraley Avenue Trail,L718451,5
Fred Clifton Park,L718461,83
Collinsville Jaycee Park,L718388,33
Chesapeake Arboretum,L619342,484
Jack Dalton Park,L718530,24
Beaver Creek Reservoir,L718590,322
"Mabry Mill, Blue Ridge Parkway",L718584,209
Lake Meade Park,L6747628,82
Lake Cohoon and Lake Meade,L4433686,17
Oak Grove Lake Park,L718637,312
Hale Lake,L357526,12
Belcher Mountain Road,L718317,9
Stumpy Lake Natural Area,L718750,5313
County Park at Great Creek,L718394,89
White Oak Mountain Wildlife Management Area,L279159,237
Beaver Dam Creek Trail,L718314,97
Philpott Lake Dam & Overlook,L718656,131
Banister Lake,L718309,40
Buffalo Mountain Natural Area Preserve,L718347,140
Fairystone Farms Wildlife Management Area,L718435,12
Fairy Stone State Park,L595847,325
County Pond/Brunswick Lake,L718395,59
Chateau Morrisette Winery,L718371,34
Paradise Creek Nature Park,L1853301,877
MacCallum More Museum and Gardens,L718585,20
Goose Point at Philpott Lake,L718434,61
Lake Prince,L718563,26
Turkeycock Mountain Wildlife Management Area,L718778,30
Lower Rock Castle Creek Trail,L718581,147
Western Branch Reservoir,L718809,59
Rocky Knob/Rock Castle Gorge Trail,L718704,750
I.C. DeHart Memorial Park,L718526,62
CornerStone Farm,L18828137,6
Virginia Aquarium & Marine Science Center,L718788,229
"Saddle Overlook, Blue Ridge Parkway",L718716,340
Sleepy Hole Park,L718734,158
Hidden Valley Wildlife Management Area,L718509,101
Lake Burnt Mills,L718355,67
Raven Cliff Karst Area,L718682,19
New River Trail State Park - Ivanhoe Birding Trail,L18586929,110
Adams Tract of Fairystone Farms Wildlife Management Area - Union Church Bridge,L718436,22
Bennett's Creek Park,L718322,162
Keokee Lake,L718544,56
Beach Garden Park,L4027954,357
Lone Star Lakes,L718576,356
Chub Sandhill Natural Area Preserve,L718381,161
Rural Retreat Lake,L718708,572
Channels State Forest and Natural Area Preserve,L718291,16
Fraley Park,L718456,11
Bullitt Park/Greenbelt Trail,L718352,25
Bark Camp Lake,L718310,25
Little Stony National Recreation Trail,L718574,13
Shot Tower State Park (Access to New River Trail State Park),L159402,87
Lake Burton,L718551,33
Appalachian Trail - near Settler's Museum,L718298,47
Glady Fork Wetland,L718469,11
Saltville Well Fields,L421209,2061
Roaring Branch,L718702,17
Hungry Mother State Park,L718523,826
Staunton River Battlefield State Park,L718745,279
Great Neck Park,L1817716,316
New River Trail State Park: Foster Falls,L718628,647
Hoffler Creek Wildlife Preserve,L718514,1311
High Knob Recreation Area,L718510,68
Clinch Mountain Wildlife Management Area,L718565,126
DWR POWRR Property – Big Cedar Creek Farm,L22468691,10
Norfolk Botanical Garden,L251092,1415
Oxbow Lake Park,L718646,36
Sugar Hill Loop Trail,L718751,91
Pleasure House Point Natural Area,L1990251,7218
A.R. Matthews Memorial Park,L718293,10
Big Survey Wildlife Management Area,L718760,24
Wetlands Estonoa,L718555,16
Airfield 4-H Conference Center,L684472,110
Scenic Portion of Staunton River,L718723,31
First Landing State Park,L718444,2262
Lake Conner,L718554,40
Legion Park Trail,L718568,55
Guest River Gorge Trail,L718494,16
Cape Henry Lighthouse at Joint Expeditionary Base Fort Story,L159305,494
Ferrum College,L718443,96
"Smart View Recreational Area, Blue Ridge Parkway",L718735,467
Potters Creek Farm,L718669,14
Big Woods Wildlife Management Area,L2908444,260
Franklin County Recreation Park,L718458,36
Pinnacle Natural Area Preserve,L718659,40
"Laurel Bed Lake, Clinch Mountain Wildlife Management Area",L718565,126
Carrollton Nike Park,L353227,171
Wise Reservoir,L718824,25
Crawfish Valley,L11842608,11
Ragged Island Wildlife Management Area,L718676,555
Waid Recreation Area,L718797,332
UVA Wise,L718782,36
Windsor Castle Park,L869541,796
Charlotte State Forest,L18180380,24
Tobacco Heritage Trail - Victoria Railroad Park,L718785,75
Lunenburg Lake,L718582,113
Fort Monroe,L604728,2914
Hidden Pond Farm,L718507,6
Stony Fork Creek Campground,L718424,109
"The Cove, Tazewell County",L718761,175
Grassy Hill Natural Area Preserve,L718481,31
Seven Sisters Trail,L718728,32
Red Hill - The Patrick Henry National Memorial,L159378,44
Fort Boykin Historic Park,L718452,678
Monster Rock Trail,L618340,22
New River Trail State Park - Pulaski,L718630,31
Big Walker Lookout,L618340,22
Dora Trail,L12385071,13
The Falls,L718762,104
Claytor Lake State Park,L718383,1690
The Mariners' Museum Park,L523043,1331
Sandy Bottom Nature Park,L718718,902
Greenfield,L718489,234
Deer Park,L718414,65
Gosnold's Hope Park,L718479,170
Virginia Living Museum,L718792,103
Long Island Park and Boat Landing,L718578,100
Grandview Nature Preserve,L718480,2860
Smith Mountain Lake Community Park,L718736,450
Briery Presbyterian Church and Headwaters of Briery Creek,L718341,57
Smith Mountain Lake State Park,L718737,413
Burke's Garden,L718354,793
Little Wolf Creek Primitive Management Area,L718575,16
North Fork of the Pound & Phillips Creek Recreation Area,L718655,26
New River Paddle Route - Radford,L718698,1345
Fort Huger,L569762,93
Historic Crab Orchard Museum,L718513,37
Booker T. Washington National Monument,L289308,530
Chesapeake Bay Bridge-Tunnel,L718337,541
Chesapeake Bay Bridge-Tunnel,L718370,755
Bisset Park/Riverway Trail,L718330,2640
Lincolnshire Park/Lake,L718571,236
Eastern Shore of Virginia National Wildlife Refuge,L718426,3157
Wildwood Park,L718821,1263
Chippokes State Park,L718379,708
Magothy Bay Natural Area Preserve,L1007732,1554
Cranes Nest River Trail,L718398,8
Bent Mountain Public Library,L718323,454
Richard Bland College,L718685,24
Prince Edward-Gallion State Forest,L2465207,64
Mockhorn Island Wildlife Management Area,L516912,234
Cavitt's Creek,L718369,313
Kiptopeke State Park,L718546,3822
Hog Island Wildlife Management Area,L718515,2118
Twin Lakes State Park,L718780,1744
Briery Creek Wildlife Management Area,L1042010,971
Newport News Park,L718631,2613
Wolf Creek Picnic Area and Trail,L718826,11
Falls of Dismal,L15200013,27
Pound River Recreational Area,L718670,1
Poor Mountain Ridgeline Drive,L2775685,134
"Historic Jamestowne, a unit of Colonial National Historical Park",L718540,3367
"Colonial Parkway, a Unit of Colonial National Historical Park",L159296,178
John J. Radcliffe Appomattox River Conservation Area,L2903590,710
Appomattox River Park,L718301,161
Branham Farm Wildlife Area,L718334,9
Happy Hollow Garden,L718498,81
Virginia Tech Campus and Historic Smithfield,L659528,4358
Custis Tombs,L559234,179
Poor Mountain Natural Area Preserve,L718665,104
Chestnut Ridge Trail,L718375,143
John W. Flannagan Reservoir,L718542,23
"Yorktown Battlefield, a unit of Colonial National Historical Park",L718830,433
Compton Mountain to Horn Mountain Driving Loop,L191448,464
Birch Knob,L718329,14
Virginia's Explore Park,L718796,428
Heritage Community Park and Natural Area,L421224,2134
Garst Mill Park Greenway,L718467,137
Poplar Gap Park/Sunset Hollow,L718667,104
Elk Viewing Area,L9258349,9
Gloucester Point Beach,L572920,568
Fishburn Park,L718445,126
Greensprings Interpretive Trail,L280466,5156
Mill Mountain Park (including Star Trail),L718602,1169
River's Edge Sports Complex,L718695,161
Sandy River Reservoir,L1041056,3055
Deerfield Trail,L2394070,1609
Cape Charles Natural Area Preserve,L598037,1065
James River National Wildlife Refuge,L12704018,113
Roanoke Water Pollution Control Plant,L718701,2693
Chickahominy Riverfront Park,L718377,488
Farley Memorial Wayside,L718440,35
Wasena Park and the Roanoke River Greenway,L718688,149
Bassett Trace Nature Trail,L1157005,1462
Cape Charles Beach and Harbor,L872490,1304
DWR POWRR Property - Falls Mills Lake,L3093599,610
Green Hill Park,L718486,273
Tinker Creek Greenway,L718771,217
Wolf Creek Greenway,L718825,64
Moyer Sports Complex/Roanoke River Greenway,L718613,68
Pandapas Pond,L718650,3770
Breaks Interstate Park,L718336,540
Thrasher Park,L718769,45
New Quarter Park,L286165,2689
East Gate Park,L718425,48
Masons Mill Park,L718592,80
Edward S. Brinkley Nature Preserve,L11333070,2680
Wilck's Lake,L718819,1824
Sailor's Creek Battlefield State Park,L718717,177
Historic Westover,L718815,77
Machicomoco State Park,L13926803,2034
Chickahominy Wildlife Management Area,L718376,108
"Lawrence Lewis, Jr. Park",L718566,90
New Point Comfort Natural Area Preserve,L718624,467
Berkeley Plantation,L4841141,55
R. Garland Dodd Park at Points of Rocks,L159373,1774
Savage Neck Dunes Natural Area Preserve,L216894,624
Hanging Rock Battlefield Trail,L718497,115
Seaview Farm,L718727,233
John's Point Landing,L10488842,90
Sherwood Forest Plantation,L718731,20
"Harrison Lake National Fish Hatchery, U.S. Fish and Wildlife Service",L159319,617
Indiantown Park,L718528,373
Appomattox Community Park,L718393,23
Walrond Park,L248755,744
Cascades,L718367,129
Havens Wildlife Management Area,L718502,18
Mountain Lake Lodge,L159358,1046
Battery Dantzler Park,L619344,59
Horn Harbor Landing,L718519,42
Whispering Pines Park,L718816,292
Glen Lyn Park,L718471,319
Piney Grove at Southall's Plantation,L718658,4
Appomattox Court House National Historical Park,L718299,242
Winter Harbor Landing,L718740,68
Henricus Park/Dutch Gap Conservation Area,L207180,7001
Cappahosic Beach Boat Landing,L718364,275
Carvins Cove Natural Reserve -- Boat Ramp,L159287,911
Carvins Cove Natural Reserve -- Bennett Springs,L21922754,30
War Spur Trail,L718804,104
Pocahontas State Park,L718660,594
"Hall Road, Raptor Viewing Stop and Overlook",L718496,26
Holliday Lake State Park,L326907,3826
Osborne Park and Boat Landing,L718645,99
Ware House Boat Landing,L631027,276
Deep Bottom Park,L418431,194
James River Heritage Trail at Percival's Island Natural Area,L718537,222
Bethel Beach Natural Area Preserve,L271098,1434
"Malvern Hill Battlefield, Richmond National Battlefield Park",L443270,879
Old City Cemetery,L718643,127
York River State Park,L718829,4112
Blackwater Creek Natural Area and Hiking Trails,L216916,281
Ruskin Freer Nature Preserve,L718709,44
Varina LandLab Conservation Area,L8260406,464
Richmond National Battlefield Park at Drewrys Bluff,L718686,90
Brent and Becky's Bulbs,L1338243,315
Test Site,L1338243,315
South Haven Beach,L718739,141
Glen Alton,L718470,947
North Haven Beach,L579828,174
Appomattox-Buckingham State Forest,L3863595,214
Peaks of Otter Recreation Area,L718653,1097
Harvey's Knob Overlook,L159320,870
"Beaverdam Park, Main Entrance",L718315,1294
Rockwood Park,L617671,1011
Crawfords State Forest,L718400,68
Amelia Wildlife Management Area,L718295,395
Dorey Park,L718418,120
Brownsville Preserve,L718342,1062
"Beaverdam Park, SR 606 Entrance",L718316,745
Piankatank River Landing,L6133997,65
Warbler Road,L2118736,727
Willis Wharf,L718822,1883
Horsepen Lake Wildlife Management Area,L718521,7
Cumberland State Forest,L1091010,67
"42nd Street Entrance, James River Park System",L268263,1869
Chimborazo Park and Chimborazo Medical Museum,L443258,242
Bear Creek Lake State Park,L356871,495
"Belle Isle, James River Park System",L618942,832
Byrd Park,L2182364,1016
The Nature Conservancy's Vandell Preserve at Cumberland Marsh,L283670,882
"The Wetlands, James River Park System",L525710,3970
"Pony Pasture, James River Park System",L3542266,1630
Trail of the Trees,L159414,475
Robious Landing Park,L377433,1043
"Glenns Campus, Rappahannock Community College",L718474,88
Paint Bank General Store/Depot Lodge/Hollow Hill Farm,L15202367,27
Fenwick Mines Day Use Area,L718442,332
"Gaines' Mill Battlefield, Richmond National Battlefield Park",L443267,99
Powhatan Wildlife Management Area,L718671,337
"Cold Harbor Battlefield, Richmond National Battlefield Park",L718387,161
Waterfence Landing,L718807,53
Vawter Street Park / Glen Lea Recreation Area,L718783,61
Bryan Park,L303334,4202
