SiteName,HotspotID,CacheFile,TotalChecklists,TotalSpecies
"42nd Street Entrance, James River Park System",L268263,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/001_42nd_street_entrance_james_river_park_system_L268263.rds,1717,191
A Place for Girls - The Outback,L718292,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/002_a_place_for_girls_the_outback_L718292.rds,37,71
A.R. Matthews Memorial Park,L718293,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/003_a_r_matthews_memorial_park_L718293.rds,8,51
Abingdon Muster Grounds,L13933609,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/004_abingdon_muster_grounds_L13933609.rds,44,81
"Accotink Bay Wildlife Refuge, Fort Belvoir",L159274,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/005_accotink_bay_wildlife_refuge_fort_belvoir_L159274.rds,1437,221
Adams Tract of Fairystone Farms Wildlife Management Area - Union Church Bridge,L718436,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/006_adams_tract_of_fairystone_farms_wildlife_management_area_union_church_bridge_L718436.rds,19,85
Airfield 4-H Conference Center,L684472,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/007_airfield_4_h_conference_center_L684472.rds,87,114
Algonkian Regional Park,L277592,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/008_algonkian_regional_park_L277592.rds,5578,237
Alum Spring Park,L718294,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/009_alum_spring_park_L718294.rds,140,112
Amelia Wildlife Management Area,L718295,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/010_amelia_wildlife_management_area_L718295.rds,353,153
Appalachian Trail - near Settler's Museum,L718298,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/011_appalachian_trail_near_settler_s_museum_L718298.rds,38,98
"Appalachian Trail, from Milam Gap to Tanners Ridge Fire Road",L159395,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/012_appalachian_trail_from_milam_gap_to_tanners_ridge_fire_road_L159395.rds,100,103
Appomattox Community Park,L718393,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/013_appomattox_community_park_L718393.rds,18,52
Appomattox Court House National Historical Park,L718299,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/014_appomattox_court_house_national_historical_park_L718299.rds,246,117
Appomattox River Park,L718301,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/015_appomattox_river_park_L718301.rds,150,134
Appomattox-Buckingham State Forest,L3863595,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/016_appomattox_buckingham_state_forest_L3863595.rds,226,109
Aquia Landing,L718303,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/017_aquia_landing_L718303.rds,1427,219
Arritt Park,L718304,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/018_arritt_park_L718304.rds,33,85
Audubon Naturalist Society Rust Sanctuary,L295870,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/019_audubon_naturalist_society_rust_sanctuary_L295870.rds,510,143
Augusta Springs Wetlands Trail,L548797,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/020_augusta_springs_wetlands_trail_L548797.rds,1081,185
Back Bay National Wildlife Refuge,L718307,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/021_back_bay_national_wildlife_refuge_L718307.rds,9420,339
Ball's Bluff Battlefield Regional Park,L456023,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/022_ball_s_bluff_battlefield_regional_park_L456023.rds,466,149
Banister Lake,L718309,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/023_banister_lake_L718309.rds,38,65
Banshee Reeks Nature Preserve,L160667,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/024_banshee_reeks_nature_preserve_L160667.rds,1476,197
Bark Camp Lake,L718310,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/025_bark_camp_lake_L718310.rds,23,87
Bassett Trace Nature Trail,L1157005,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/026_bassett_trace_nature_trail_L1157005.rds,1282,162
Battery Dantzler Park,L619344,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/027_battery_dantzler_park_L619344.rds,57,71
Baylor Park Nature Trail,L4743951,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/028_baylor_park_nature_trail_L4743951.rds,97,108
Baywood Public Boat Landing,L718311,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/029_baywood_public_boat_landing_L718311.rds,13,48
Beach Garden Park,L4027954,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/030_beach_garden_park_L4027954.rds,310,152
"Beagle Gap Overlook, Shenandoah National Park",L718312,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/031_beagle_gap_overlook_shenandoah_national_park_L718312.rds,263,111
Bealers Ferry Pond and Boat Launch,L10914481,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/032_bealers_ferry_pond_and_boat_launch_L10914481.rds,138,122
Bear Creek Lake State Park,L356871,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/033_bear_creek_lake_state_park_L356871.rds,475,149
Beartree Lake/Campground - Mt. Rogers NRA,L718313,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/034_beartree_lake_campground_mt_rogers_nra_L718313.rds,57,96
Beaver Creek Reservoir,L718590,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/035_beaver_creek_reservoir_L718590.rds,271,155
Beaver Dam Creek Trail,L718314,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/036_beaver_dam_creek_trail_L718314.rds,100,101
"Beaverdam Park, Main Entrance",L718315,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/037_beaverdam_park_main_entrance_L718315.rds,1109,197
"Beaverdam Park, SR 606 Entrance",L718316,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/038_beaverdam_park_sr_606_entrance_L718316.rds,680,168
Belcher Mountain Road,L718317,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/039_belcher_mountain_road_L718317.rds,7,33
Belle Isle State Park,L718318,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/040_belle_isle_state_park_L718318.rds,543,187
"Belle Isle, James River Park System",L618942,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/041_belle_isle_james_river_park_system_L618942.rds,824,179
Belmont Ferry Farm Trail,L4434878,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/042_belmont_ferry_farm_trail_L4434878.rds,231,137
"Belmont, Gari Melchers Estate",L718321,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/043_belmont_gari_melchers_estate_L718321.rds,38,75
Bennett's Creek Park,L718322,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/044_bennett_s_creek_park_L718322.rds,155,108
Bent Mountain Public Library,L718323,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/045_bent_mountain_public_library_L718323.rds,364,139
Bentonville to Front Royal River Loop,L5484912,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/046_bentonville_to_front_royal_river_loop_L5484912.rds,63,108
Berkeley Plantation,L4841141,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/047_berkeley_plantation_L4841141.rds,48,113
Bethel Beach Natural Area Preserve,L271098,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/048_bethel_beach_natural_area_preserve_L271098.rds,1196,221
"Big Gem Park, Town of Shenandoah",L718327,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/049_big_gem_park_town_of_shenandoah_L718327.rds,39,79
"Big Meadows, Shenandoah National Park",L159391,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/050_big_meadows_shenandoah_national_park_L159391.rds,1071,152
Big Survey Wildlife Management Area,L718760,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/051_big_survey_wildlife_management_area_L718760.rds,25,65
Big Woods Wildlife Management Area,L2908444,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/052_big_woods_wildlife_management_area_L2908444.rds,194,115
Birch Knob,L718329,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/053_birch_knob_L718329.rds,12,79
Bisset Park/Riverway Trail,L718330,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/054_bisset_park_riverway_trail_L718330.rds,2489,190
Blackwater Creek Natural Area and Hiking Trails,L216916,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/055_blackwater_creek_natural_area_and_hiking_trails_L216916.rds,353,119
Blandy Experimental Farm and State Arboretum of Virginia,L235100,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/056_blandy_experimental_farm_and_state_arboretum_of_virginia_L235100.rds,6741,229
Blowing Springs Campground,L617024,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/057_blowing_springs_campground_L617024.rds,40,77
Blue Grass Valley Driving Loop,L159285,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/058_blue_grass_valley_driving_loop_L159285.rds,492,175
Blue Ridge Discovery Center,L10166141,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/059_blue_ridge_discovery_center_L10166141.rds,88,99
Blue Ridge Rail Trail,L526877,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/060_blue_ridge_rail_trail_L526877.rds,76,116
Booker T. Washington National Monument,L289308,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/061_booker_t_washington_national_monument_L289308.rds,544,133
Botanical Garden of the Piedmont,L15170674,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/062_botanical_garden_of_the_piedmont_L15170674.rds,176,102
Boxerwood Nature Center and Woodland Garden,L718333,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/063_boxerwood_nature_center_and_woodland_garden_L718333.rds,206,120
Braley Pond,L718335,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/064_braley_pond_L718335.rds,214,130
Branham Farm Wildlife Area,L718334,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/065_branham_farm_wildlife_area_L718334.rds,6,52
